Отметка времени,  Сколько часов в день ты тратишь на самостоятельное обучение (вне пар)?  ,  Что тебе больше нравится — теория или практика?  ,  Как тебе удобнее всего учиться?  ,  Как ты обычно готовишься к экзаменам?  ,  Как часто ты используешь ChatGPT для учёбы?  ,  Насколько ты дисциплинирован?  ,  Как часто ты пропускаешь пары?  ,  Что для тебя важнее?  ,  Как часто ты прокрастинируешь?  ,Как ты себя чувствуешь в конце учебной недели? ,KMeans_Cluster,Hierarch_Cluster
06.03.2026 6:58:56,"3 = 1–2 часа, я молодец",5 = Только практика,4 = Слушать объяснения других,1 = Экзамен завтра — начинаю сегодня в 23:00,"5 = ChatGPT пишет, я сдаю","2 = Стараюсь, но Instagram сильнее","1 = Скорее один, группа отвлекает",1 = Знания — оценка это просто цифра,"4 = Часто, но в последний момент всё успеваю","5 = ИИ — это моя жизнь, Илон Маск нервно курит",1,2
06.03.2026 7:22:46,"3 = 1–2 часа, я молодец",5 = Только практика,1 = Смотреть видео/лекции,1 = Экзамен завтра — начинаю сегодня в 23:00,"5 = ChatGPT пишет, я сдаю","3 = Средне, бывает по-разному","= Один, тишина, наушники, не трогайте меня","3 = Хочу и знания и пятёрку, я жадный","4 = Часто, но в последний момент всё успеваю","3 = Нормально, бывало и хуже",1,2
06.03.2026 7:30:25,4 = 2–3 часа,3 = Поровну,5 = Всё вместе,4 = Готовлюсь заранее как нормальный человек,"4 = Часто, это мой лучший друг",4 = Обычно всё делаю вовремя,4 = В группе веселее и продуктивнее,"3 = Хочу и знания и пятёрку, я жадный","2 = Редко, обычно держу себя в руках","4 = Неплохо, справляюсь",0,1
06.03.2026 8:30:46,"3 = 1–2 часа, я молодец",Вариант 4,3 = Решать задачи,"2 = За пару дней, классика","4 = Часто, это мой лучший друг","3 = Средне, бывает по-разному","1 = Скорее один, группа отвлекает",1 = Знания — оценка это просто цифра,"3 = Иногда, но потом наверстываю","4 = Неплохо, справляюсь",0,2
06.03.2026 11:00:39,4 = 2–3 часа,5 = Только практика,5 = Всё вместе,"2 = За пару дней, классика",2 = Только когда совсем не понимаю,4 = Обычно всё делаю вовремя,4 = В группе веселее и продуктивнее,5 = Главное — закрыть сессию и выжить,"4 = Часто, но в последний момент всё успеваю","1 = Я труп, заберите меня отсюда",2,0
06.03.2026 11:40:43,4 = 2–3 часа,3 = Поровну,5 = Всё вместе,1 = Экзамен завтра — начинаю сегодня в 23:00,"4 = Часто, это мой лучший друг",1 = Дедлайн — моя единственная мотивация,4 = В группе веселее и продуктивнее,"2 = Знания важнее, но оценка тоже приятна","4 = Часто, но в последний момент всё успеваю","3 = Нормально, бывало и хуже",1,0
06.03.2026 11:45:14,"3 = 1–2 часа, я молодец",3 = Поровну,5 = Всё вместе,"2 = За пару дней, классика",2 = Только когда совсем не понимаю,"2 = Стараюсь, но Instagram сильнее",4 = В группе веселее и продуктивнее,1 = Знания — оценка это просто цифра,"2 = Редко, обычно держу себя в руках","3 = Нормально, бывало и хуже",0,1
06.03.2026 11:45:58,"3 = 1–2 часа, я молодец",3 = Поровну,5 = Всё вместе,"2 = За пару дней, классика",2 = Только когда совсем не понимаю,"2 = Стараюсь, но Instagram сильнее",4 = В группе веселее и продуктивнее,1 = Знания — оценка это просто цифра,"2 = Редко, обычно держу себя в руках","3 = Нормально, бывало и хуже",0,1
06.03.2026 11:46:26,"минут-30. Мы не лошади, мы люди",3 = Поровну,5 = Всё вместе,1 = Экзамен завтра — начинаю сегодня в 23:00,"5 = ChatGPT пишет, я сдаю",1 = Дедлайн — моя единственная мотивация,"= Один, тишина, наушники, не трогайте меня","3 = Хочу и знания и пятёрку, я жадный","3 = Иногда, но потом наверстываю","3 = Нормально, бывало и хуже",1,0
06.03.2026 11:59:20,4 = 2–3 часа,3 = Поровну,4 = Слушать объяснения других,1 = Экзамен завтра — начинаю сегодня в 23:00,2 = Только когда совсем не понимаю,"3 = Средне, бывает по-разному","1 = Скорее один, группа отвлекает","2 = Знания важнее, но оценка тоже приятна","2 = Редко, обычно держу себя в руках","2 = Устал, но живой",0,2
06.03.2026 12:13:39,"минут-30. Мы не лошади, мы люди",1 = Только теория,4 = Слушать объяснения других,"2 = За пару дней, классика","4 = Часто, это мой лучший друг","3 = Средне, бывает по-разному","2 = Скорее один, группа отвлекает","2 = Знания важнее, но оценка тоже приятна","3 = Иногда, но потом наверстываю","4 = Неплохо, справляюсь",0,2
06.03.2026 12:14:59,1 = Почти не учусь сам,5 = Только практика,5 = Всё вместе,1 = Экзамен завтра — начинаю сегодня в 23:00,"4 = Часто, это мой лучший друг","3 = Средне, бывает по-разному",4 = В группе веселее и продуктивнее,"2 = Знания важнее, но оценка тоже приятна","3 = Иногда, но потом наверстываю","4 = Неплохо, справляюсь",1,0
06.03.2026 12:18:07,"3 = 1–2 часа, я молодец",5 = Только практика,3 = Решать задачи,1 = Экзамен завтра — начинаю сегодня в 23:00,"4 = Часто, это мой лучший друг",1 = Дедлайн — моя единственная мотивация,4 = В группе веселее и продуктивнее,1 = Знания — оценка это просто цифра,"3 = Иногда, но потом наверстываю","3 = Нормально, бывало и хуже",1,0
